#序号,经度,纬度,航向角(度)
#bridge_5B-6B
157,110.64708745,35.60560023,269.86
158,110.64693924,35.60559992,359.86
159,110.64693921,35.60561074,89.86
160,110.64708742,35.60561105,359.86
161,110.64708738,35.60562187,269.86
162,110.64693917,35.60562156,359.86
163,110.64693914,35.60563238,89.86
164,110.64708735,35.60563269,359.86
165,110.64708732,35.60564351,269.86
166,110.64693911,35.60564320,359.86
167,110.64693907,35.60565402,89.86
168,110.64708728,35.60565433,359.86
169,110.64708725,35.60566515,269.86
170,110.64693904,35.60566484,359.86
171,110.64693901,35.60567566,89.86
172,110.64708722,35.60567597,359.86
173,110.64708720,35.60568196,269.86
174,110.64693899,35.60568166,359.93
#north_5
175,110.64693893,35.60571969,89.73
176,110.64708721,35.60572025,359.74
177,110.64708715,35.60573107,269.73
178,110.64693887,35.60573051,359.74
179,110.64693881,35.60574133,89.73
180,110.64708709,35.60574189,359.74
181,110.64708703,35.60575271,269.73
182,110.64693875,35.60575215,359.74
183,110.64693868,35.60576297,89.73
184,110.64708697,35.60576353,359.74
185,110.64708690,35.60577435,269.73
186,110.64693862,35.60577379,359.74
187,110.64693856,35.60578461,89.73
188,110.64708684,35.60578517,359.74
189,110.64708678,35.60579599,269.73
190,110.64693850,35.60579543,359.74
191,110.64693844,35.60580625,89.73
192,110.64708672,35.60580681,359.74
193,110.64708666,35.60581763,269.73
194,110.64693838,35.60581707,359.74
195,110.64693832,35.60582789,89.73
196,110.64708660,35.60582845,359.74
197,110.64708654,35.60583927,269.73
198,110.64693825,35.60583871,359.74
199,110.64693819,35.60584953,89.73
200,110.64708647,35.60585009,359.74
201,110.64708641,35.60586091,269.73
202,110.64693813,35.60586035,359.74
203,110.64693807,35.60587117,89.73
204,110.64708635,35.60587173,359.74
205,110.64708629,35.60588255,269.73
206,110.64693801,35.60588199,359.74
207,110.64693795,35.60589281,89.73
208,110.64708623,35.60589337,359.74
209,110.64708620,35.60589920,269.73
210,110.64693791,35.60589864,359.69
#north_4
211,110.64693768,35.60593463,89.75
212,110.64708580,35.60593515,359.76
213,110.64708574,35.60594597,269.75
214,110.64693762,35.60594545,359.76
215,110.64693756,35.60595627,89.75
216,110.64708569,35.60595679,359.76
217,110.64708563,35.60596761,269.75
218,110.64693751,35.60596709,359.76
219,110.64693745,35.60597791,89.75
220,110.64708558,35.60597843,359.76
221,110.64708552,35.60598925,269.75
222,110.64693740,35.60598873,359.76
223,110.64693734,35.60599955,89.75
224,110.64708546,35.60600007,359.76
225,110.64708541,35.60601089,269.75
226,110.64693728,35.60601037,359.76
227,110.64693723,35.60602119,89.75
228,110.64708535,35.60602171,359.76
229,110.64708529,35.60603253,269.75
230,110.64693717,35.60603201,359.76
231,110.64693711,35.60604283,89.75
232,110.64708524,35.60604334,359.76
233,110.64708518,35.60605416,269.75
234,110.64693706,35.60605365,359.76
235,110.64693700,35.60606447,89.75
236,110.64708512,35.60606498,359.76
237,110.64708507,35.60607580,269.75
238,110.64693694,35.60607529,359.76
239,110.64693689,35.60608611,89.75
240,110.64708501,35.60608662,359.76
241,110.64708496,35.60609744,269.75
242,110.64693683,35.60609693,359.76
243,110.64693677,35.60610775,89.75
244,110.64708490,35.60610826,359.76
245,110.64708487,35.60611454,269.75
246,110.64693674,35.60611403,359.55
#north_3
247,110.64693637,35.60615212,90.04
248,110.64708457,35.60615204,0.04
249,110.64708458,35.60616286,270.04
250,110.64693638,35.60616294,0.04
