#序号,经度,纬度,航向角(度)
1,120.06761399,30.32111703,217.98
2,120.06761399,30.32111703,73.69
3,120.06773795,30.32114833,115.52
4,120.06773795,30.32114833,343.84
5,120.06773417,30.32115959,179.01
6,120.06773417,30.32115959,253.70
7,120.06761022,30.32112830,50.33
8,120.06761022,30.32112830,343.83
9,120.06760644,30.32113956,77.45
10,120.06760644,30.32113956,73.70
11,120.06773039,30.32117086,340.11
12,120.06773039,30.32117086,343.85
13,120.06772661,30.32118212,297.06
14,120.06772661,30.32118212,253.69
15,120.06760266,30.32115082,164.26
16,120.06760266,30.32115082,343.85
17,120.06759888,30.32116208,191.49
18,120.06759888,30.32116208,73.69
19,120.06772284,30.32119338,104.03
20,120.06772284,30.32119338,343.83
21,120.06771906,30.32120464,144.85
22,120.06771906,30.32120464,253.70
23,120.06759510,30.32117335,318.52
24,120.06759510,30.32117335,343.86
25,120.06759132,30.32118461,273.45
26,120.06759132,30.32118461,73.70
27,120.06771528,30.32121591,14.21
28,120.06771528,30.32121591,343.84
29,120.06771150,30.32122717,336.63
30,120.06771150,30.32122717,253.70
31,120.06758755,30.32119587,126.78
32,120.06758755,30.32119587,343.84
33,120.06758377,30.32120713,162.14
34,120.06758377,30.32120713,73.69
35,120.06770772,30.32123843,73.69
