#序号,经度,纬度,航向角(度)
1,120.06891542,30.32052484,14.89
2,120.06907119,30.32103053,285.03
3,120.06906059,30.32103298,194.89
4,120.06890482,30.32052730,285.03
5,120.06889422,30.32052976,14.89
6,120.06904998,30.32103544,285.03
7,120.06903938,30.32103790,194.89
8,120.06888361,30.32053222,285.03
9,120.06887301,30.32053467,14.89
10,120.06902878,30.32104036,285.03
11,120.06901818,30.32104282,194.89
12,120.06886241,30.32053713,285.03
13,120.06885181,30.32053959,14.89
14,120.06900758,30.32104527,285.03
15,120.06899698,30.32104773,194.89
16,120.06884121,30.32054205,285.03
17,120.06883061,30.32054451,14.89
18,120.06898637,30.32105019,285.03
19,120.06897577,30.32105265,194.89
20,120.06882000,30.32054696,285.03
21,120.06880940,30.32054942,14.89
22,120.06896517,30.32105510,285.03
23,120.06895457,30.32105756,194.89
24,120.06879880,30.32055188,285.03
25,120.06878820,30.32055434,14.89
26,120.06894397,30.32106002,285.03
27,120.06893337,30.32106248,194.89
28,120.06877760,30.32055680,285.03
29,120.06876700,30.32055925,14.89
30,120.06892276,30.32106494,285.03
31,120.06891216,30.32106739,194.89
32,120.06875640,30.32056171,194.89
