#序号,经度,纬度,航向角(度)
1,120.06757631,30.32110630,344.12
2,120.06755624,30.32116718,253.97
3,120.06754193,30.32116363,164.12
4,120.06756200,30.32110275,253.97
5,120.06754769,30.32109920,344.12
6,120.06752763,30.32116008,253.97
7,120.06751332,30.32115654,164.12
8,120.06753339,30.32109565,253.97
9,120.06751908,30.32109210,344.12
10,120.06749901,30.32115299,253.97
11,120.06748471,30.32114944,164.12
12,120.06750477,30.32108855,253.97
13,120.06749047,30.32108500,344.12
14,120.06747040,30.32114589,253.97
15,120.06745609,30.32114234,164.12
16,120.06747616,30.32108145,253.97
17,120.06746185,30.32107791,344.12
18,120.06744179,30.32113879,344.12
