#序号,经度,纬度,航向角(度)
1,120.06894323,30.32050372,161.22
2,120.06920549,30.31983802,71.04
3,120.06923447,30.31984661,341.22
4,120.06897221,30.32051232,71.04
5,120.06900120,30.32052091,161.22
6,120.06926346,30.31985521,71.04
7,120.06929245,30.31986380,341.22
8,120.06903019,30.32052951,71.04
9,120.06905918,30.32053810,161.22
10,120.06932144,30.31987240,71.04
11,120.06935042,30.31988099,341.22
12,120.06908816,30.32054670,259.54
13,120.06874765,30.32049246,164.47
14,120.06896556,30.31981560,74.32
15,120.06899465,30.31982265,344.47
16,120.06877674,30.32049950,74.32
17,120.06880583,30.32050655,164.47
18,120.06902373,30.31982970,74.32
19,120.06905282,30.31983674,344.47
20,120.06883491,30.32051360,74.32
21,120.06886400,30.32052065,164.47
22,120.06908190,30.31984379,74.32
23,120.06911099,30.31985084,344.47
24,120.06889308,30.32052770,74.32
25,120.06892217,30.32053474,164.47
26,120.06914007,30.31985789,164.47
