序号,经度,纬度,航向角(度)
#bridge_5B-6B
1,110.64741439,35.60589766,179.80
2,110.64741485,35.60579115,179.80
3,110.64741531,35.60568464,179.89
#bridge_5B-6B_mid
4,110.64741554,35.60559321,179.89
#bridge_6A-7bB
5,110.64741576,35.60550179,182.22
6,110.64741415,35.60546819,179.17
#bridge_6A-7bB_mid
7,110.64741574,35.60537855,179.17
#bridge_7bA-7A
8,110.64741733,35.60528891,89.85
9,110.64753119,35.60528916,89.85
10,110.64764505,35.60528941,89.85
11,110.64775890,35.60528965,179.65
#bridge_8B-9A
12,110.64775919,35.60525156,179.87
13,110.64775953,35.60512645,179.87
14,110.64775988,35.60500133,270.86
#bridge_8B-9A_mid
15,110.64759761,35.60500331,270.86
16,110.64743534,35.60500528,270.86
#bridge_E9-W9
17,110.64727306,35.60500726,270.02
18,110.64717973,35.60500729,270.02
19,110.64708640,35.60500732,266.86
#bridge_W9-W9B
20,110.64694178,35.60500087,0.18
21,110.64694191,35.60503441,2.07
#W8_start
22,110.64694362,35.60507303,89.78
23,110.64708523,35.60507347,359.78
24,110.64708518,35.60508339,269.78
25,110.64694358,35.60508295,359.78
26,110.64694353,35.60509287,89.78
27,110.64708513,35.60509331,359.78
28,110.64708509,35.60510322,269.78
29,110.64694348,35.60510279,359.78
30,110.64694344,35.60511270,89.78
31,110.64708504,35.60511314,359.78
32,110.64708500,35.60512306,269.78
33,110.64694339,35.60512262,359.78
34,110.64694335,35.60513254,89.78
35,110.64708495,35.60513298,359.78
36,110.64708490,35.60514290,269.78
37,110.64694330,35.60514246,359.78
38,110.64694325,35.60515238,89.78
39,110.64708486,35.60515281,359.78
40,110.64708481,35.60516273,269.78
41,110.64694321,35.60516229,359.78
42,110.64694316,35.60517221,89.78
43,110.64708477,35.60517265,359.78
44,110.64708472,35.60518257,269.78
45,110.64694312,35.60518213,359.78
46,110.64694307,35.60519205,89.78
47,110.64708467,35.60519249,359.78
48,110.64708463,35.60520240,269.78
49,110.64694302,35.60520197,359.78
50,110.64694298,35.60521188,89.78
51,110.64708458,35.60521232,359.78
52,110.64708454,35.60522224,269.78
53,110.64694293,35.60522180,359.78
54,110.64694289,35.60523172,89.78
55,110.64708449,35.60523216,359.78
