#序号,经度,纬度,航向角(度)
1,120.06891216,30.32106739,194.89
2,120.06875640,30.32056171,105.03
3,120.06878820,30.32055434,14.89
4,120.06894397,30.32106002,105.03
5,120.06897577,30.32105265,194.89
6,120.06882000,30.32054696,105.03
7,120.06885181,30.32053959,14.89
8,120.06900758,30.32104527,105.03
9,120.06903938,30.32103790,194.89
10,120.06888361,30.32053222,105.03
11,120.06891542,30.32052484,14.89
12,120.06907119,30.32103053,189.49
13,120.06886182,30.31994887,198.58
14,120.06867308,30.31946411,108.75
15,120.06870246,30.31945551,18.58
16,120.06889120,30.31994026,108.75
17,120.06892058,30.31993165,198.58
18,120.06873184,30.31944690,108.75
19,120.06876122,30.31943829,18.58
20,120.06894996,30.31992304,108.75
21,120.06897933,30.31991443,198.58
22,120.06879059,30.31942968,108.75
23,120.06881997,30.31942107,18.58
24,120.06900871,30.31990582,108.75
25,120.06903809,30.31989721,198.58
26,120.06884935,30.31941246,108.75
27,120.06887873,30.31940385,18.58
28,120.06906747,30.31988860,108.75
29,120.06909685,30.31987999,198.58
30,120.06890811,30.31939524,198.58
