#序号,经度,纬度,航向角(度)
1,120.06960367,30.32006377,194.89
2,120.06944790,30.31955809,285.03
3,120.06943730,30.31956055,14.89
4,120.06959307,30.32006623,285.03
5,120.06958247,30.32006869,194.89
6,120.06942670,30.31956301,285.03
7,120.06941610,30.31956547,14.89
8,120.06957187,30.32007115,285.03
9,120.06956127,30.32007361,194.89
10,120.06940550,30.31956792,285.03
11,120.06939489,30.31957038,14.89
12,120.06955066,30.32007606,285.03
13,120.06954006,30.32007852,194.89
14,120.06938429,30.31957284,285.03
15,120.06937369,30.31957530,14.89
16,120.06952946,30.32008098,285.03
17,120.06951886,30.32008344,194.89
18,120.06936309,30.31957775,285.03
19,120.06935249,30.31958021,14.89
20,120.06950826,30.32008589,285.03
21,120.06949766,30.32008835,194.89
22,120.06934189,30.31958267,285.03
23,120.06933129,30.31958513,14.89
24,120.06948706,30.32009081,285.03
25,120.06947645,30.32009327,194.89
26,120.06932068,30.31958759,285.03
27,120.06931008,30.31959004,14.89
28,120.06946585,30.32009573,285.03
29,120.06945525,30.32009818,194.89
30,120.06929948,30.31959250,285.03
31,120.06928888,30.31959496,14.89
32,120.06944465,30.32010064,14.89
