序号,经度,纬度,航向角(度)
#bridge_5B-6B
1,110.64741439,35.60589766,179.80
2,110.64741485,35.60579115,179.80
3,110.64741531,35.60568464,179.89
#bridge_5B-6B_mid
4,110.64741554,35.60559321,179.89
#bridge_6A-7bB
5,110.64741576,35.60550179,182.22
6,110.64741415,35.60546819,179.17
#bridge_6A-7bB_mid
7,110.64741574,35.60537855,179.17
#bridge_7bA-7A
8,110.64741733,35.60528891,89.85
9,110.64753119,35.60528916,89.85
10,110.64764505,35.60528941,89.85
11,110.64775890,35.60528965,179.65
#bridge_8B-9A
12,110.64775919,35.60525156,179.87
13,110.64775953,35.60512645,179.87
14,110.64775988,35.60500133,179.80
#bridge_8B-9A_mid
15,110.64776019,35.60492672,179.80
#bridge_10A-11B
16,110.64776051,35.60485210,179.53
17,110.64776154,35.60475104,179.90
#bridge_10A-11B_mid
18,110.64776179,35.60463881,179.90
#bridge_11A-12B
19,110.64776204,35.60452659,179.55
20,110.64776305,35.60442280,179.83
#bridge_12A-13B
21,110.64776353,35.60429183,179.99
22,110.64776354,35.60426312,179.88
#bridge_13A-14B
23,110.64776382,35.60415299,179.72
24,110.64776446,35.60404492,179.58
#bridge_13A-14B_mid
25,110.64776529,35.60395352,179.58
#bridge_14A-15B
26,110.64776612,35.60386212,180.61
27,110.64776564,35.60382533,269.90
#bridge_14A-15B_mid
28,110.64760305,35.60382509,269.90
29,110.64744045,35.60382485,269.90
#E15_long_block_start
30,110.64727785,35.60382461,179.92
31,110.64727805,35.60370103,89.92
32,110.64728909,35.60370104,359.92
33,110.64728889,35.60382462,89.92
34,110.64729993,35.60382463,179.92
35,110.64730013,35.60370105,89.92
36,110.64731117,35.60370107,359.92
37,110.64731097,35.60382464,89.92
38,110.64732201,35.60382466,179.92
39,110.64732221,35.60370108,89.92
40,110.64733325,35.60370109,359.92
41,110.64733305,35.60382467,89.92
42,110.64734409,35.60382468,179.92
43,110.64734429,35.60370110,89.92
44,110.64735533,35.60370111,359.92
45,110.64735513,35.60382469,89.92
46,110.64736617,35.60382470,179.92
47,110.64736637,35.60370112,89.92
48,110.64737741,35.60370114,359.92
49,110.64737721,35.60382471,89.92
50,110.64738825,35.60382473,179.92
51,110.64738845,35.60370115,89.92
