#序号,经度,纬度,航向角(度)
1,120.06789529,30.32125101,164.38
2,120.06791512,30.32118980,254.23
3,120.06790460,30.32118723,344.38
4,120.06788477,30.32124844,254.23
5,120.06787426,30.32124588,164.38
6,120.06789409,30.32118467,254.23
7,120.06788357,30.32118210,344.38
8,120.06786374,30.32124331,254.23
9,120.06785322,30.32124075,164.38
10,120.06787305,30.32117954,254.23
11,120.06786253,30.32117698,344.38
12,120.06784270,30.32123818,254.23
13,120.06783219,30.32123562,164.38
14,120.06785202,30.32117441,254.23
15,120.06784150,30.32117185,344.38
16,120.06782167,30.32123305,254.23
17,120.06781115,30.32123049,164.38
18,120.06783098,30.32116928,254.23
19,120.06782046,30.32116672,344.38
20,120.06780063,30.32122793,254.23
21,120.06779012,30.32122536,164.38
22,120.06780995,30.32116415,254.23
23,120.06779943,30.32116159,344.38
24,120.06777960,30.32122280,254.23
25,120.06776908,30.32122023,164.38
26,120.06778891,30.32115902,254.23
27,120.06777839,30.32115646,344.38
28,120.06775856,30.32121767,344.38
