#序号,经度,纬度,航向角(度)
1,120.07129185,30.32080136,136.24
2,120.07139046,30.32071247,225.95
3,120.07138222,30.32070559,316.24
4,120.07128361,30.32079448,225.95
5,120.07127537,30.32078760,136.24
6,120.07137398,30.32069871,225.95
7,120.07136574,30.32069183,316.24
8,120.07126713,30.32078072,225.95
9,120.07125889,30.32077384,136.24
10,120.07135750,30.32068495,225.95
11,120.07134927,30.32067807,316.24
12,120.07125065,30.32076697,225.95
13,120.07124242,30.32076009,136.24
14,120.07134103,30.32067119,225.95
15,120.07133279,30.32066432,316.24
16,120.07123418,30.32075321,225.95
17,120.07122594,30.32074633,136.24
18,120.07132455,30.32065744,225.95
19,120.07131631,30.32065056,316.24
20,120.07121770,30.32073945,316.24
