序号,经度,纬度,航向角(度)
#bridge_5B-6B
1,110.64741439,35.60589766,179.80
2,110.64741485,35.60579115,179.80
3,110.64741531,35.60568464,179.88
#bridge_5B-6B_mid
4,110.64741555,35.60559320,179.88
#bridge_6A-7bA
5,110.64741580,35.60550175,180.14
6,110.64741547,35.60539443,180.14
7,110.64741514,35.60528711,44.72
#bridge_7bA-7A
8,110.64741733,35.60528891,89.85
9,110.64753119,35.60528916,89.85
10,110.64764505,35.60528941,89.85
11,110.64775890,35.60528965,179.65
#bridge_8B-9A
12,110.64775919,35.60525156,179.87
13,110.64775953,35.60512645,179.87
14,110.64775988,35.60500133,179.73
#bridge_8B-9A_mid
15,110.64776031,35.60492667,179.73
#bridge_10A-11B
16,110.64776073,35.60485201,179.63
17,110.64776154,35.60475104,179.90
#bridge_10A-11B_mid
18,110.64776179,35.60463881,179.90
#bridge_11A-12B
19,110.64776204,35.60452659,179.55
20,110.64776305,35.60442280,186.86
#south_12
21,110.64776252,35.60441920,269.83
22,110.64760021,35.60441880,269.83
23,110.64743790,35.60441841,269.83
24,110.64727559,35.60441801,179.83
25,110.64727563,35.60440719,89.83
26,110.64743794,35.60440759,89.83
27,110.64760025,35.60440798,89.83
28,110.64776256,35.60440838,179.83
29,110.64776260,35.60439756,269.83
30,110.64760029,35.60439716,269.83
31,110.64743798,35.60439677,269.83
32,110.64727567,35.60439637,179.83
33,110.64727571,35.60438555,89.83
34,110.64743802,35.60438595,89.83
35,110.64760033,35.60438634,89.83
36,110.64776264,35.60438674,179.83
37,110.64776268,35.60437592,269.83
38,110.64760037,35.60437553,269.83
39,110.64743806,35.60437513,269.83
40,110.64727575,35.60437473,179.83
41,110.64727579,35.60436391,89.83
42,110.64743810,35.60436431,89.83
43,110.64760041,35.60436471,89.83
44,110.64776272,35.60436510,179.83
45,110.64776276,35.60435428,269.83
46,110.64760045,35.60435389,269.83
47,110.64743814,35.60435349,269.83
48,110.64727583,35.60435309,179.83
49,110.64727587,35.60434227,89.83
50,110.64743818,35.60434267,89.83
51,110.64760049,35.60434307,89.83
52,110.64776280,35.60434346,179.83
53,110.64776283,35.60433264,269.83
54,110.64760053,35.60433225,269.83
55,110.64743822,35.60433185,269.83
