#序号,经度,纬度,航向角(度)
1,120.06891821,30.31976178,196.73
2,120.06868114,30.31908087,106.89
3,120.06869149,30.31907815,16.73
4,120.06892856,30.31975906,106.89
5,120.06893891,30.31975635,196.73
6,120.06870183,30.31907544,106.89
7,120.06871218,30.31907273,16.73
8,120.06894925,30.31975364,106.89
9,120.06895960,30.31975093,196.73
10,120.06872253,30.31907002,106.89
11,120.06873287,30.31906731,16.73
12,120.06896995,30.31974822,106.89
13,120.06898030,30.31974551,196.73
14,120.06874322,30.31906460,106.89
15,120.06875357,30.31906189,16.73
16,120.06899064,30.31974279,106.89
17,120.06900099,30.31974008,196.73
18,120.06876391,30.31905917,106.89
19,120.06877426,30.31905646,16.73
20,120.06901134,30.31973737,106.89
21,120.06902168,30.31973466,196.73
22,120.06878461,30.31905375,106.89
23,120.06879495,30.31905104,16.73
24,120.06903203,30.31973195,106.89
25,120.06904238,30.31972924,196.73
26,120.06880530,30.31904833,106.89
27,120.06881565,30.31904562,16.73
28,120.06905272,30.31972653,106.89
29,120.06906307,30.31972381,196.73
30,120.06882600,30.31904291,106.89
31,120.06883634,30.31904019,16.73
32,120.06907342,30.31972110,106.89
33,120.06908376,30.31971839,196.73
34,120.06884669,30.31903748,106.89
35,120.06885704,30.31903477,16.73
36,120.06909411,30.31971568,106.89
37,120.06910446,30.31971297,196.73
38,120.06886738,30.31903206,106.89
39,120.06887773,30.31902935,16.73
40,120.06911481,30.31971026,106.89
41,120.06912515,30.31970755,196.73
42,120.06888808,30.31902664,106.89
43,120.06889842,30.31902392,16.73
44,120.06913550,30.31970483,106.89
45,120.06914585,30.31970212,196.73
46,120.06890877,30.31902121,106.89
47,120.06891912,30.31901850,16.73
48,120.06915619,30.31969941,16.73
