#序号,经度,纬度,航向角(度)
1,120.06896457,30.32082676,194.43
2,120.06882083,30.32034453,104.57
3,120.06885441,30.32033700,14.43
4,120.06899814,30.32081922,104.57
5,120.06903172,30.32081169,194.43
6,120.06888798,30.32032947,104.57
7,120.06892155,30.32032194,14.43
8,120.06906529,30.32080416,104.57
9,120.06909886,30.32079663,194.43
10,120.06895513,30.32031440,104.57
11,120.06898870,30.32030687,14.43
12,120.06913244,30.32078910,185.19
13,120.06902857,30.31980174,194.29
14,120.06884386,30.31917592,104.43
15,120.06887525,30.31916894,14.29
16,120.06905996,30.31979477,104.43
17,120.06909135,30.31978779,194.29
18,120.06890664,30.31916197,104.43
19,120.06893803,30.31915500,14.29
20,120.06912273,30.31978082,104.43
21,120.06915412,30.31977385,194.29
22,120.06896941,30.31914803,194.29
