#序号,经度,纬度,航向角(度)
1,120.06908940,30.32065515,14.89
2,120.06924517,30.32116083,105.03
3,120.06925577,30.32115838,194.89
4,120.06910000,30.32065269,105.03
5,120.06911060,30.32065024,14.89
6,120.06926637,30.32115592,105.03
7,120.06927698,30.32115346,194.89
8,120.06912121,30.32064778,105.03
9,120.06913181,30.32064532,14.89
10,120.06928758,30.32115100,105.03
11,120.06929818,30.32114855,194.89
12,120.06914241,30.32064286,105.03
13,120.06915301,30.32064040,14.89
14,120.06930878,30.32114609,105.03
15,120.06931938,30.32114363,194.89
16,120.06916361,30.32063795,105.03
17,120.06917421,30.32063549,14.89
18,120.06932998,30.32114117,105.03
19,120.06934059,30.32113871,194.89
20,120.06918481,30.32063303,105.03
21,120.06919542,30.32063057,14.89
22,120.06935119,30.32113626,105.03
23,120.06936179,30.32113380,194.89
24,120.06920602,30.32062812,105.03
25,120.06921662,30.32062566,14.89
26,120.06937239,30.32113134,105.03
27,120.06938299,30.32112888,194.89
28,120.06922722,30.32062320,105.03
29,120.06923782,30.32062074,14.89
30,120.06939359,30.32112642,105.03
31,120.06940419,30.32112397,194.89
32,120.06924842,30.32061828,194.89
