#序号,经度,纬度,航向角(度)
1,120.06893003,30.32050934,341.22
2,120.06866777,30.32117505,251.04
3,120.06863399,30.32116503,161.22
4,120.06889626,30.32049932,251.04
5,120.06886248,30.32048931,341.22
6,120.06860021,30.32115502,251.04
7,120.06856644,30.32114500,161.22
8,120.06882870,30.32047929,251.04
9,120.06879493,30.32046928,341.22
10,120.06853266,30.32113499,164.66
11,120.06873485,30.32049872,344.47
12,120.06851694,30.32117557,254.32
13,120.06848404,30.32116760,164.47
14,120.06870195,30.32049074,254.32
15,120.06866905,30.32048277,344.47
16,120.06845114,30.32115963,254.32
17,120.06841824,30.32115165,164.47
18,120.06863615,30.32047480,254.32
19,120.06860324,30.32046683,344.47
20,120.06838533,30.32114368,254.32
21,120.06835243,30.32113571,164.47
22,120.06857034,30.32045885,164.47
