序号,经度,纬度,航向角(度)
157,110.64777102,35.60214599,269.58
158,110.64760915,35.60214504,269.58
159,110.64744729,35.60214409,269.58
160,110.64728543,35.60214313,359.59
161,110.64728535,35.60215215,89.58
162,110.64744721,35.60215310,89.58
163,110.64760908,35.60215406,89.58
164,110.64777094,35.60215501,359.59
165,110.64777086,35.60216403,269.58
166,110.64760900,35.60216307,269.58
167,110.64744713,35.60216212,269.58
168,110.64728527,35.60216116,359.59
169,110.64728519,35.60217018,89.58
170,110.64744706,35.60217113,89.58
171,110.64760892,35.60217209,89.58
172,110.64777078,35.60217304,359.59
173,110.64777070,35.60218206,269.58
174,110.64760884,35.60218111,269.58
175,110.64744698,35.60218015,269.58
176,110.64728511,35.60217920,89.32
#E23_mid
177,110.64744770,35.60218076,89.32
178,110.64761029,35.60218232,89.32
#bridge_23-24B
179,110.64777288,35.60218388,179.83
180,110.64777326,35.60207866,224.23
#E24
181,110.64777107,35.60207683,269.51
182,110.64762982,35.60207586,269.51
183,110.64748857,35.60207488,269.51
184,110.64734731,35.60207390,269.51
185,110.64720606,35.60207292,179.52
186,110.64720615,35.60206391,89.51
187,110.64734741,35.60206488,89.51
188,110.64748866,35.60206586,89.51
189,110.64762991,35.60206684,89.51
190,110.64777117,35.60206782,179.52
191,110.64777126,35.60205880,269.51
192,110.64763001,35.60205782,269.51
193,110.64748875,35.60205685,269.51
194,110.64734750,35.60205587,269.51
195,110.64720625,35.60205489,179.52
196,110.64720634,35.60204587,89.51
197,110.64734759,35.60204685,89.51
198,110.64748885,35.60204783,89.51
199,110.64763010,35.60204881,89.51
200,110.64777136,35.60204979,179.52
201,110.64777145,35.60204077,269.51
202,110.64763020,35.60203979,269.51
203,110.64748894,35.60203881,269.51
204,110.64734769,35.60203784,269.51
205,110.64720643,35.60203686,179.52
206,110.64720653,35.60202784,89.51
207,110.64734778,35.60202882,89.51
208,110.64748904,35.60202980,89.51
209,110.64763029,35.60203078,89.51
210,110.64777154,35.60203175,179.52
211,110.64777164,35.60202274,269.51
212,110.64763038,35.60202176,269.51
213,110.64748913,35.60202078,269.51
214,110.64734788,35.60201980,269.51
215,110.64720662,35.60201882,179.52
216,110.64720672,35.60200981,89.51
217,110.64734797,35.60201079,89.51
218,110.64748922,35.60201177,89.51
219,110.64763048,35.60201274,89.51
220,110.64777173,35.60201372,179.52
221,110.64777182,35.60200470,269.51
222,110.64763057,35.60200373,269.51
223,110.64748932,35.60200275,269.51
224,110.64734806,35.60200177,269.51
225,110.64720681,35.60200079,179.52
226,110.64720690,35.60199178,89.51
227,110.64734816,35.60199275,89.51
228,110.64748941,35.60199373,89.51
229,110.64763066,35.60199471,89.51
230,110.64777192,35.60199569,179.52
231,110.64777201,35.60198667,269.51
232,110.64763076,35.60198569,269.51
233,110.64748950,35.60198472,269.51
234,110.64734825,35.60198374,269.51
235,110.64720700,35.60198276,179.52
236,110.64720709,35.60197374,89.51
237,110.64734834,35.60197472,89.51
238,110.64748960,35.60197570,89.51
239,110.64763085,35.60197668,89.51
240,110.64777210,35.60197766,179.52
241,110.64777220,35.60196864,269.51
242,110.64763094,35.60196766,269.51
243,110.64748969,35.60196668,269.51
244,110.64734844,35.60196571,269.51
245,110.64720718,35.60196473,179.52
246,110.64720728,35.60195571,89.51
247,110.64734853,35.60195669,89.51
248,110.64748978,35.60195767,89.51
249,110.64763104,35.60195865,89.51
250,110.64777229,35.60195962,179.52
251,110.64777238,35.60195061,269.51
252,110.64763113,35.60194963,269.51
253,110.64748988,35.60194865,269.51
254,110.64734862,35.60194767,269.51
255,110.64720737,35.60194670,179.52
256,110.64720746,35.60193768,89.51
257,110.64734872,35.60193866,89.51
258,110.64748997,35.60193964,89.51
259,110.64763122,35.60194061,89.51
260,110.64777248,35.60194159,179.52
261,110.64777257,35.60193258,269.51
262,110.64763132,35.60193160,269.51
263,110.64749006,35.60193062,269.51
264,110.64734881,35.60192964,269.51
265,110.64720756,35.60192866,89.51
266,110.64734881,35.60192964,89.51
267,110.64749006,35.60193062,89.51
268,110.64763132,35.60193160,89.51
269,110.64777257,35.60193258,178.11
#bridge_E24A-E24D_stop
270,110.64777258,35.60193237,269.62
271,110.64763298,35.60193162,269.62
272,110.64749338,35.60193087,269.62
273,110.64735378,35.60193012,269.62
274,110.64721418,35.60192937,285.95
#bridge_front1-W24C
275,110.64720157,35.60193230,268.76
276,110.64718479,35.60193201,284.14
#W24
277,110.64717818,35.60193336,269.87
278,110.64703693,35.60193310,269.87
279,110.64689567,35.60193284,269.87
280,110.64675441,35.60193259,269.87
281,110.64661315,35.60193233,359.87
282,110.64661312,35.60194134,89.87
283,110.64675438,35.60194160,89.87
284,110.64689564,35.60194186,89.87
285,110.64703690,35.60194212,89.87
286,110.64717816,35.60194238,359.87
287,110.64717813,35.60195139,269.87
288,110.64703688,35.60195114,269.87
289,110.64689562,35.60195088,269.87
290,110.64675436,35.60195062,269.87
291,110.64661310,35.60195036,359.87
292,110.64661307,35.60195938,89.87
293,110.64675433,35.60195963,89.87
294,110.64689559,35.60195989,89.87
295,110.64703685,35.60196015,89.87
296,110.64717811,35.60196041,359.87
297,110.64717809,35.60196943,269.87
298,110.64703683,35.60196917,269.87
299,110.64689557,35.60196891,269.87
300,110.64675431,35.60196865,269.87
301,110.64661305,35.60196839,359.87
302,110.64661302,35.60197741,89.87
303,110.64675428,35.60197767,89.87
304,110.64689554,35.60197793,89.87
305,110.64703680,35.60197818,89.87
306,110.64717806,35.60197844,359.87
307,110.64717804,35.60198746,269.87
308,110.64703678,35.60198720,269.87
309,110.64689552,35.60198694,269.87
310,110.64675426,35.60198668,269.87
311,110.64661300,35.60198642,359.87
312,110.64661297,35.60199544,89.87
313,110.64675423,35.60199570,89.87
314,110.64689549,35.60199596,89.87
315,110.64703675,35.60199622,89.87
316,110.64717801,35.60199648,359.87
317,110.64717799,35.60200549,269.87
318,110.64703673,35.60200523,269.87
319,110.64689547,35.60200498,269.87
320,110.64675421,35.60200472,269.87
321,110.64661295,35.60200446,359.87
322,110.64661293,35.60201347,89.87
323,110.64675418,35.60201373,89.87
324,110.64689544,35.60201399,89.87
325,110.64703670,35.60201425,89.87
326,110.64717796,35.60201451,359.87
327,110.64717794,35.60202352,269.87
328,110.64703668,35.60202327,269.87
329,110.64689542,35.60202301,269.87
330,110.64675416,35.60202275,269.87
331,110.64661290,35.60202249,359.87
332,110.64661288,35.60203151,89.87
333,110.64675413,35.60203177,89.87
334,110.64689539,35.60203202,89.87
335,110.64703665,35.60203228,89.87
336,110.64717791,35.60203254,359.87
337,110.64717789,35.60204156,269.87
338,110.64703663,35.60204130,269.87
339,110.64689537,35.60204104,269.87
340,110.64675411,35.60204078,269.87
341,110.64661285,35.60204052,359.87
342,110.64661283,35.60204954,89.87
343,110.64675409,35.60204980,89.87
344,110.64689534,35.60205006,89.87
345,110.64703660,35.60205032,89.87
346,110.64717786,35.60205057,359.87
347,110.64717784,35.60205959,269.87
348,110.64703658,35.60205933,269.87
349,110.64689532,35.60205907,269.87
350,110.64675406,35.60205881,269.87
351,110.64661280,35.60205856,359.87
352,110.64661278,35.60206757,89.87
353,110.64675404,35.60206783,89.87
354,110.64689530,35.60206809,89.87
355,110.64703655,35.60206835,89.87
356,110.64717781,35.60206861,359.87
357,110.64717779,35.60207734,269.87
358,110.64703653,35.60207709,269.87
359,110.64689527,35.60207683,269.87
360,110.64675401,35.60207657,269.87
361,110.64661275,35.60207631,180.58
#W24_mid
362,110.64661185,35.60200341,180.58
#back_W24B-W24C
363,110.64661094,35.60193052,89.82
364,110.64675386,35.60193089,89.82
365,110.64689677,35.60193125,89.82
