#序号,经度,纬度,航向角(度)
1,120.06898870,30.32030687,14.43
2,120.06913244,30.32078910,284.57
3,120.06912194,30.32079145,194.43
4,120.06897821,30.32030923,284.57
5,120.06896772,30.32031158,14.43
6,120.06911145,30.32079380,284.57
7,120.06910096,30.32079616,194.43
8,120.06895722,30.32031393,284.57
9,120.06894673,30.32031629,14.43
10,120.06909047,30.32079851,284.57
11,120.06907998,30.32080087,194.43
12,120.06893624,30.32031864,284.57
13,120.06892575,30.32032099,14.43
14,120.06906949,30.32080322,284.57
15,120.06905899,30.32080557,194.43
16,120.06891526,30.32032335,284.57
17,120.06890477,30.32032570,14.43
18,120.06904850,30.32080793,284.57
19,120.06903801,30.32081028,194.43
20,120.06889427,30.32032806,284.57
21,120.06888378,30.32033041,14.43
22,120.06902752,30.32081263,284.57
23,120.06901703,30.32081499,194.43
24,120.06887329,30.32033276,284.57
25,120.06886280,30.32033512,14.43
26,120.06900654,30.32081734,284.57
27,120.06899604,30.32081970,194.43
28,120.06885231,30.32033747,284.57
29,120.06884182,30.32033982,14.43
30,120.06898555,30.32082205,284.57
31,120.06897506,30.32082440,194.43
32,120.06883133,30.32034218,284.57
33,120.06882083,30.32034453,14.43
34,120.06896457,30.32082676,14.43
