#序号,经度,纬度,航向角(度)
1,120.06761399,30.32111703,73.70
2,120.06773795,30.32114833,343.85
3,120.06773417,30.32115959,253.70
4,120.06761022,30.32112830,343.85
5,120.06760644,30.32113956,73.70
6,120.06773039,30.32117086,343.85
7,120.06772661,30.32118212,253.70
8,120.06760266,30.32115082,343.85
9,120.06759888,30.32116208,73.70
10,120.06772284,30.32119338,343.85
11,120.06771906,30.32120464,253.70
12,120.06759510,30.32117335,343.85
13,120.06759132,30.32118461,73.70
14,120.06771528,30.32121591,343.85
15,120.06771150,30.32122717,253.70
16,120.06758755,30.32119587,343.85
17,120.06758377,30.32120713,73.70
